,ID,TotalMinutesWearTime,HR-worn,day/min calory alignment,day/min step alignment,StepTotal,Stepped
2021-11-26,056-AdamaBA,734,True,True,True,15420.0,True
2021-11-27,056-AdamaBA,686,True,True,True,11136.0,True
2021-11-28,056-AdamaBA,780,True,True,True,10957.0,True
2021-11-29,056-AdamaBA,443,False,True,True,8856.0,True
2021-11-30,056-AdamaBA,669,True,False,False,13952.0,True
2021-12-01,056-AdamaBA,50,False,True,False,1263.0,True
2021-12-02,056-AdamaBA,271,False,True,True,3151.0,True
2021-12-03,056-AdamaBA,668,True,True,True,10641.0,True
2021-12-04,056-AdamaBA,801,True,True,True,21838.0,True
2021-12-05,056-AdamaBA,591,False,True,True,9544.0,True
2021-12-06,056-AdamaBA,525,False,True,True,8239.0,True
2021-12-07,056-AdamaBA,525,False,True,True,10044.0,True
2021-12-08,056-AdamaBA,0,False,True,False,0.0,False
2021-12-09,056-AdamaBA,0,False,True,False,0.0,False
2021-12-10,056-AdamaBA,0,False,True,False,0.0,False
2021-12-11,056-AdamaBA,0,False,True,False,0.0,False
2021-12-12,056-AdamaBA,0,False,True,False,0.0,False
2021-12-13,056-AdamaBA,0,False,True,False,0.0,False
2021-12-14,056-AdamaBA,0,False,True,False,0.0,False
2021-12-15,056-AdamaBA,0,False,True,False,0.0,False
2021-12-16,056-AdamaBA,0,False,True,False,0.0,False
2021-12-17,056-AdamaBA,0,False,True,False,0.0,False
2021-12-18,056-AdamaBA,0,False,True,False,0.0,False
2021-12-19,056-AdamaBA,0,False,True,False,0.0,False
2021-12-20,056-AdamaBA,235,False,True,True,7104.0,True
2021-12-21,056-AdamaBA,22,False,True,True,373.0,True
2021-12-22,056-AdamaBA,627,True,True,True,9974.0,True
2021-12-23,056-AdamaBA,97,False,True,True,706.0,True
2021-12-24,056-AdamaBA,566,False,True,True,10389.0,True
2021-12-25,056-AdamaBA,177,False,True,True,315.0,True
2021-12-26,056-AdamaBA,655,True,True,True,14682.0,True
2021-12-27,056-AdamaBA,611,True,True,True,16372.0,True
2021-12-28,056-AdamaBA,394,False,True,True,8153.0,True
2021-12-29,056-AdamaBA,663,True,True,True,12159.0,True
2021-12-30,056-AdamaBA,337,False,True,True,3429.0,True
2021-12-31,056-AdamaBA,255,False,True,True,6799.0,True
2022-01-01,056-AdamaBA,471,False,True,True,8586.0,True
2022-01-02,056-AdamaBA,922,True,True,True,16307.0,True
2022-01-03,056-AdamaBA,531,False,True,True,8587.0,True
2022-01-04,056-AdamaBA,6,False,True,False,0.0,False
2022-01-05,056-AdamaBA,457,False,True,True,6367.0,True
2022-01-06,056-AdamaBA,552,False,True,True,12888.0,True
2022-01-07,056-AdamaBA,546,False,True,True,11608.0,True
2022-01-08,056-AdamaBA,634,True,True,True,9927.0,True
2022-01-09,056-AdamaBA,745,True,True,True,11387.0,True
2022-01-10,056-AdamaBA,344,False,True,True,6073.0,True
2022-01-11,056-AdamaBA,410,False,True,True,7841.0,True
2022-01-12,056-AdamaBA,0,False,True,False,0.0,False
2022-01-13,056-AdamaBA,570,False,True,True,13032.0,True
2022-01-14,056-AdamaBA,75,False,True,True,992.0,True
2022-01-15,056-AdamaBA,0,False,True,False,0.0,False
2022-01-16,056-AdamaBA,7,False,True,False,0.0,False
2022-01-17,056-AdamaBA,6,False,True,False,0.0,False
2022-01-18,056-AdamaBA,380,False,True,True,6294.0,True
2022-01-19,056-AdamaBA,0,False,True,False,0.0,False
2022-01-20,056-AdamaBA,287,False,True,True,4902.0,True
2022-01-21,056-AdamaBA,584,False,True,True,13533.0,True
2022-01-22,056-AdamaBA,0,False,True,False,0.0,False
2022-01-23,056-AdamaBA,195,False,True,True,9570.0,True
2022-01-24,056-AdamaBA,0,False,True,False,0.0,False
2022-01-25,056-AdamaBA,0,False,True,False,0.0,False
2022-01-26,056-AdamaBA,363,False,True,True,5890.0,True
2022-01-27,056-AdamaBA,0,False,True,False,0.0,False
2022-01-28,056-AdamaBA,714,True,True,True,15532.0,True
2022-01-29,056-AdamaBA,1006,True,True,True,17752.0,True
2022-01-30,056-AdamaBA,988,True,True,True,13028.0,True
2022-01-31,056-AdamaBA,890,True,True,True,13849.0,True
2022-02-01,056-AdamaBA,614,True,True,True,9027.0,True
2022-02-02,056-AdamaBA,0,False,True,False,0.0,False
2022-02-03,056-AdamaBA,572,False,True,True,6342.0,True
2022-02-04,056-AdamaBA,540,False,True,True,18557.0,True
2022-02-05,056-AdamaBA,693,True,True,True,17899.0,True
2022-02-06,056-AdamaBA,790,True,True,True,13614.0,True
2022-02-07,056-AdamaBA,17,False,True,False,0.0,False
2022-02-08,056-AdamaBA,274,False,True,True,2982.0,True
2022-02-09,056-AdamaBA,0,False,True,False,0.0,False
2022-02-10,056-AdamaBA,19,False,True,False,0.0,False
2022-02-11,056-AdamaBA,0,False,True,False,0.0,False
2022-02-12,056-AdamaBA,0,False,True,False,0.0,False
2022-02-13,056-AdamaBA,257,False,True,True,4348.0,True
2022-02-14,056-AdamaBA,0,False,True,False,0.0,False
