ActivityDay,SedentaryMinutes,LightlyActiveMinutes,FairlyActiveMinutes,VeryActiveMinutes,SedentaryActiveDistance,LightActiveDistance,ModeratelyActiveDistance,VeryActiveDistance
8/20/2022,1299,93,17,31,0,3.04999995231628,0.899999976158142,2.30999994277954
8/21/2022,471,261,75,35,0,4.57999992370605,1.10000002384186,2.28999996185303
8/22/2022,529,186,72,117,0,3.23000001907349,1.50999999046326,6.46000003814697
8/23/2022,434,245,35,43,0,5.88000011444092,1.4099999666214,2.70000004768372
8/24/2022,619,331,0,0,0,6.21000003814697,0,0
8/25/2022,605,297,19,33,0,6.51000022888184,0.740000009536743,2.47000002861023
8/26/2022,654,215,45,52,0,5.01000022888184,1.83000004291534,3.47000002861023
8/27/2022,821,148,18,14,0,2.08999991416931,0.639999985694885,0.569999992847443
8/28/2022,1418,22,0,0,0,0.180000007152557,0,0
8/29/2022,1440,0,0,0,0,0,0,0
8/30/2022,1296,113,20,11,0,2.08999991416931,0.819999992847443,0.689999997615814
8/31/2022,725,253,13,16,0,5.51999998092651,0.709999978542328,1.22000002861023
9/1/2022,245,203,0,0,0,4.1399998664856,0,0
9/2/2022,621,256,18,22,0,4.73000001907349,0.819999992847443,1.67999994754791
9/3/2022,433,231,7,3,0,4.63000011444092,0.439999997615814,0.219999998807907
9/4/2022,221,296,43,12,0,6.67000007629395,1.64999997615814,0.519999980926514
9/5/2022,492,265,45,30,0,5.53000020980835,1.79999995231628,1.37999999523163
9/6/2022,572,215,24,51,0,5.55000019073486,0.990000009536743,3.32999992370605
9/7/2022,77,227,0,0,0,4.76000022888184,0,0
9/8/2022,248,160,42,30,0,3.34999990463257,1.74000000953674,2.0699999332428
9/9/2022,777,220,19,4,0,4.86999988555908,0.930000007152557,0.300000011920929
9/10/2022,715,277,8,14,0,6.55000019073486,0.400000005960464,1.03999996185303
9/11/2022,630,239,39,7,0,4.8899998664856,2.00999999046326,0.449999988079071
9/12/2022,485,358,29,44,0,8.0600004196167,0.980000019073486,2.96000003814697
9/13/2022,655,269,0,0,0,4.82999992370605,0,0
9/14/2022,740,290,17,1,0,6.13000011444092,0.930000007152557,0.070000000298023
9/15/2022,309,236,12,9,0,6.28999996185303,0.560000002384186,0.660000026226044
9/16/2022,713,186,30,5,0,3.34999990463257,1.72000002861023,0.340000003576279
9/17/2022,542,304,21,9,0,7.19000005722046,0.930000007152557,0.400000005960464
9/18/2022,675,271,7,1,0,5.17999982833862,0.310000002384186,0.070000000298023
9/19/2022,795,141,22,3,0,2.10999989509583,1.1599999666214,0.219999998807907
9/20/2022,605,293,31,8,0,6.11999988555908,1.78999996185303,0.349999994039536
9/21/2022,285,201,71,13,0,3.26999998092651,3.97000002861023,0.910000026226044
9/22/2022,830,245,31,9,0,3.59999990463257,1.58000004291534,0.490000009536743
9/23/2022,600,222,11,29,0,4.38000011444092,0.6700000166893,2.15000009536743
9/24/2022,659,218,16,1,0,4.28999996185303,0.5799999833107,0.050000000745058
9/25/2022,720,352,31,20,0,8.84000015258789,1.94000005722046,1.48000001907349
9/26/2022,494,292,47,49,0,5.57000017166138,2.25,3.69000005722046
9/27/2022,890,201,8,32,0,3.70000004768372,0.430000007152557,2.45000004768372
9/28/2022,601,210,44,25,0,3.73000001907349,1.75,0.569999992847443
9/29/2022,818,173,8,5,0,3.24000000953674,0.479999989271164,0.360000014305115
9/30/2022,650,200,0,0,0,3.75,0,0
10/1/2022,778,234,31,48,0,4.11999988555908,0.980000019073486,3.17000007629395
10/2/2022,697,319,64,86,0,5.32000017166138,1.58000004291534,4.67000007629395
10/3/2022,422,127,14,0,0,3.60999989509583,0.409999996423721,0
10/4/2022,580,196,3,10,0,3.15000009536743,0.009999999776483,0.100000001490116
10/5/2022,751,174,6,4,0,2.59999990463257,0.370000004768372,0.270000010728836
10/6/2022,877,167,0,0,0,2.07999992370606,0,0
10/7/2022,940,304,30,11,0,6.76999998092651,1.78999996185303,0.800000011920929
10/8/2022,756,166,0,0,0,3.98000001907349,0,0
10/9/2022,451,37,0,0,0,0.25,0,0
10/10/2022,615,108,0,0,0,0.790000021457672,0,0
10/11/2022,539,118,1,10,0,1.17999994754791,0,0
10/12/2022,560,258,18,2,0,3.5,0.740000009536743,0.119999997317791
10/13/2022,804,172,1,9,0,2.23000001907349,0,0
10/14/2022,789,212,9,3,0,4.3600001335144,0.46000000834465,0.180000007152557
10/15/2022,583,235,51,25,0,4.48999977111816,1.80999994277954,0.300000011920929
10/16/2022,627,188,15,10,0,3.89000010490417,0.769999980926514,0.639999985694885
10/17/2022,665,219,29,10,0,4.15999984741211,1.05999994277954,0.620000004768372
10/18/2022,727,227,90,19,0,4.17000007629395,5.15000009536743,1.20000004768372
10/19/2022,778,212,0,0,0,5.32000017166138,0,0
10/20/2022,254,230,20,4,0,4.07999992370605,0.949999988079071,0.259999990463257
10/21/2022,674,181,38,6,0,3.25999999046326,2.1800000667572,0.430000007152557
10/22/2022,830,252,0,0,0,5.51999998092651,0,0
10/23/2022,741,286,52,20,0,4.40000009536743,2.99000000953674,1.27999997138977
10/24/2022,551,276,59,19,0,5.67999982833862,2.23000001907349,1.21000003814697
10/25/2022,531,258,30,73,0,5.28000020980835,1.23000001907349,5.46000003814697
10/26/2022,591,346,50,22,0,8.38000011444092,2.75999999046326,1.5900000333786
10/27/2022,638,226,33,42,0,4.96000003814697,1.94000005722046,3.09999990463257
10/28/2022,585,244,41,41,0,5.05999994277954,1.86000001430511,3.05999994277954
10/29/2022,664,265,15,16,0,5.25,0.850000023841858,1.14999997615814
10/30/2022,618,277,96,23,0,6.76000022888184,5.17999982833862,1.46000003814697
10/31/2022,527,191,32,20,0,3.72000002861023,1.26999998092651,1.02999997138977
11/1/2022,829,234,8,7,0,5.44999980926514,0.129999995231628,0.129999995231628
11/2/2022,797,154,62,26,0,2.86999988555908,2.63000011444092,0.879999995231628
11/3/2022,776,172,0,0,0,2.82999992370605,0,0
11/4/2022,662,219,7,2,0,4.69000005722046,0.109999999403954,0.129999995231628
11/5/2022,632,271,47,24,0,6.15000009536743,1.62000000476837,1.47000002861023
11/6/2022,575,255,28,19,0,2.96000003814697,0.819999992847443,1.28999996185303
11/7/2022,725,228,0,0,0,3.95000004768372,0,0
11/8/2022,772,149,29,19,0,2.73000001907349,1.28999996185303,1.24000000953674
11/9/2022,594,235,47,31,0,3.91000008583069,1.88999998569489,2.05999994277954
11/10/2022,729,202,28,3,0,3.48000001907349,0.759999990463257,0.200000002980232
11/11/2022,317,247,12,26,0,5.23999977111816,0.72000002861023,1.97000002861023
11/12/2022,615,206,40,10,0,4.11999988555908,1.05999994277954,0.550000011920929
11/13/2022,634,301,43,12,0,5.19999980926514,1.75999999046326,0.790000021457672
11/14/2022,618,180,10,0,0,3.15000009536743,0.540000021457672,0
11/15/2022,644,263,33,32,0,6.94999980926514,1.5900000333786,2.27999997138977
11/16/2022,432,350,11,0,0,9.36999988555908,0.6700000166893,0
11/17/2022,574,272,41,40,0,6.46999979019165,2.5,2.90000009536743
11/18/2022,665,258,33,7,0,4.82000017166138,1.75999999046326,0.389999985694885
11/19/2022,621,337,44,50,0,8.09000015258789,2.51999998092651,3.72000002861023
11/20/2022,548,137,8,1,0,3,0.490000009536743,0.070000000298023
11/21/2022,691,180,20,2,0,3.72000002861023,0.400000005960464,0.03999999910593
11/22/2022,706,144,26,9,0,2.04999995231628,1.27999997138977,0.519999980926514
11/23/2022,542,226,52,43,0,4.17999982833862,1.96000003814697,2.53999996185303
11/24/2022,592,205,18,5,0,4.42999982833862,1.10000002384186,0.330000013113022
11/25/2022,506,235,24,25,0,4.76000022888184,1.54999995231628,1.62000000476837
11/26/2022,717,240,14,3,0,5.03999996185303,0.509999990463257,0.219999998807907
11/27/2022,504,197,20,38,0,3.72000002861023,1.20000004768372,2.75999999046326
11/28/2022,449,258,39,40,0,5.34999990463257,2.04999995231628,2.59999990463257
11/29/2022,600,259,53,33,0,5.21999979019165,2.70000004768372,2.0699999332428
11/30/2022,703,127,11,10,0,2.02999997138977,0.680000007152557,0.600000023841858
12/1/2022,466,206,58,27,0,4.96000003814697,2.63000011444092,1.23000001907349
12/2/2022,651,219,36,26,0,5.17000007629395,1.98000001907349,1.71000003814697
12/3/2022,694,184,0,0,0,4.40000009536743,0,0
12/4/2022,549,234,17,15,0,5.42999982833862,0.899999976158142,1.05999994277954
12/5/2022,519,238,72,34,0,4.34999990463257,3.50999999046326,1.49000000953674
12/6/2022,583,186,43,40,0,2.84999990463257,2.00999999046326,2.86999988555908
12/7/2022,694,370,13,3,0,8.5,0.589999973773956,0.109999999403954
12/8/2022,658,125,34,47,0,2.14000010490417,1.3400000333786,3.29999995231628
12/9/2022,664,295,27,22,0,6.88000011444092,1.69000005722046,1.62000000476837
12/10/2022,660,325,27,3,0,7.03999996185303,1.10000002384186,0.159999996423721
12/11/2022,665,267,29,24,0,6.17000007629395,1.37999999523163,1.5900000333786
12/12/2022,574,287,35,53,0,5.78999996185303,1.46000003814697,4.07000017166138
12/13/2022,752,203,45,52,0,3.15000009536743,2.45000004768372,3.64000010490417
12/14/2022,49,288,25,51,0,5.05999994277954,1,4.09000015258789
