ActivityDay,SedentaryMinutes,LightlyActiveMinutes,FairlyActiveMinutes,VeryActiveMinutes,SedentaryActiveDistance,LightActiveDistance,ModeratelyActiveDistance,VeryActiveDistance
7/5/2023,1221,211,8,0,0,3.64000010490417,0.439999997615814,0
7/6/2023,1149,291,0,0,0,4.55999994277954,0,0
7/7/2023,1411,29,0,0,0,0.600000023841858,0,0
7/8/2023,1440,0,0,0,0,0,0,0
7/9/2023,1331,109,0,0,0,1.67999994754791,0,0
7/10/2023,1099,280,0,0,0,4.36999988555908,0,0
7/11/2023,1256,184,0,0,0,3.09999990463257,0,0
7/12/2023,1409,31,0,0,0,0.379999995231628,0,0
7/13/2023,1252,188,0,0,0,3.1800000667572,0,0
7/14/2023,1201,138,0,0,0,2.29999995231628,0,0
7/15/2023,1376,64,0,0,0,0.409999996423721,0,0
7/16/2023,1429,11,0,0,0,0.059999998658895,0,0
7/17/2023,1422,18,0,0,0,0.079999998211861,0,0
7/18/2023,1402,38,0,0,0,0.070000000298023,0,0
7/19/2023,1423,17,0,0,0,0.150000005960464,0,0
7/20/2023,1416,24,0,0,0,0.070000000298023,0,0
7/21/2023,1416,24,0,0,0,0.140000000596046,0,0
7/22/2023,1422,18,0,0,0,0.079999998211861,0,0
7/23/2023,1380,60,0,0,0,0.72000002861023,0,0
7/24/2023,1225,215,0,0,0,3.22000002861023,0,0
7/25/2023,795,253,0,0,0,4.6399998664856,0,0
7/26/2023,1064,376,0,0,0,6.34000015258789,0,0
7/27/2023,1440,0,0,0,0,0,0,0
7/28/2023,1440,0,0,0,0,0,0,0
7/29/2023,1432,8,0,0,0,0.100000001490116,0,0
7/30/2023,734,259,2,8,0,4.59999990463257,0.090000003576279,0.589999973773956
7/31/2023,1188,252,0,0,0,3.96000003814697,0,0
8/1/2023,768,356,0,0,0,6.38000011444092,0,0
8/2/2023,1009,431,0,0,0,6.59000015258789,0,0
8/3/2023,730,342,0,0,0,5.36999988555908,0,0
8/4/2023,1061,379,0,0,0,6.59999990463257,0,0
8/5/2023,1123,317,0,0,0,5.6399998664856,0,0
8/6/2023,1152,198,0,0,0,3.33999991416931,0,0
8/7/2023,629,421,0,0,0,7.59999990463257,0,0
8/8/2023,1034,406,0,0,0,7.32999992370605,0,0
8/9/2023,1070,370,0,0,0,6.73000001907349,0,0
8/10/2023,1071,369,0,0,0,6.07000017166138,0,0
8/11/2023,1087,353,0,0,0,6.6100001335144,0,0
8/12/2023,1026,414,0,0,0,8,0,0
8/13/2023,1162,218,0,0,0,3.46000003814697,0,0
8/14/2023,620,400,0,0,0,7.19000005722046,0,0
8/15/2023,880,560,0,0,0,11.3900003433228,0,0
8/16/2023,1241,184,0,0,0,2.59999990463257,0,0
8/17/2023,621,399,0,0,0,7.1100001335144,0,0
8/18/2023,629,376,0,0,0,6.6100001335144,0,0
8/19/2023,665,355,0,0,0,6.34999990463257,0,0
8/20/2023,1167,213,0,0,0,3.97000002861023,0,0
8/21/2023,736,344,0,0,0,5.75,0,0
8/22/2023,1301,139,0,0,0,2.69000005722046,0,0
8/23/2023,1440,0,0,0,0,0,0,0
