ActivityDay,SedentaryMinutes,LightlyActiveMinutes,FairlyActiveMinutes,VeryActiveMinutes,SedentaryActiveDistance,LightActiveDistance,ModeratelyActiveDistance,VeryActiveDistance
2/23/2023,1037,139,27,95,0,0.959999978542328,0.6700000166893,6.36999988555908
2/24/2023,558,206,40,58,0,1.75,0.430000007152557,2.99000000953674
2/25/2023,500,188,157,49,0,2,2.25999999046326,1.37999999523163
2/26/2023,133,195,84,88,0,2.07999992370606,0.910000026226044,3.64000010490417
2/27/2023,0,291,145,55,0,3.9300000667572,3.20000004768372,2.5
2/28/2023,666,199,97,80,0,2.41000008583069,1.9099999666214,4.8600001335144
3/1/2023,366,227,163,102,0,2.57999992370605,4.67999982833862,5.3899998664856
3/2/2023,962,186,112,103,0,3.00999999046326,2.61999988555908,5.65999984741211
3/3/2023,639,212,161,195,0,2.83999991416931,3.20000004768372,9.60000038146973
3/4/2023,0,196,124,96,0,2.73000001907349,2.9300000667572,4.44999980926514
3/5/2023,698,245,88,49,0,4.11999988555908,1.58000004291534,1.60000002384186
3/6/2023,326,171,54,0,0,3.77999997138977,1.58000004291534,0
3/7/2023,363,319,88,92,0,6.03000020980835,2.67000007629395,6.21999979019165
3/8/2023,316,340,68,42,0,7.40000009536743,2.25,2.8199999332428
3/9/2023,0,181,33,44,0,2.84999990463257,1.75999999046326,3.17000007629395
3/10/2023,155,243,64,93,0,3.92000007629395,2.79999995231628,6.5
3/11/2023,714,360,23,58,0,9.02999973297119,1.04999995231628,4.28999996185303
3/12/2023,720,238,7,21,0,4.01000022888184,0.319999992847443,1.62000000476837
3/13/2023,191,341,56,6,0,7.57999992370605,2.05999994277954,0.419999986886978
3/14/2023,652,366,80,69,0,7.80999994277954,2.00999999046326,4.55000019073486
3/15/2023,0,307,107,84,0,5.61999988555908,2.59999990463257,3.63000011444092
3/16/2023,653,291,37,31,0,5.17000007629395,0.800000011920929,1.86000001430511
3/17/2023,244,308,39,13,0,6.26999998092651,1.62000000476837,0.870000004768372
3/18/2023,177,380,98,91,0,7.32000017166138,2.99000000953674,5.55999994277954
3/19/2023,155,214,7,33,0,4.71999979019165,0.300000011920929,2.34999990463257
3/20/2023,190,313,38,2,0,7,1.13999998569489,0.140000000596046
3/21/2023,354,293,73,68,0,4.84999990463257,3.32999992370605,4.40000009536743
3/22/2023,75,316,63,62,0,5.21000003814697,1.74000000953674,3.61999988555908
3/23/2023,548,213,61,57,0,4.38000011444092,3.75999999046326,4.17999982833862
3/24/2023,152,243,31,51,0,4.40000009536743,1.5,3.77999997138977
3/25/2023,1007,286,63,84,0,5.28000020980835,1.55999994277954,4.69999980926514
3/26/2023,0,145,0,0,0,2.4300000667572,0,0
3/27/2023,261,198,98,176,0,3.66000008583069,2.75,10.25
3/28/2023,0,321,20,69,0,6.53000020980835,0.790000021457672,4.8899998664856
3/29/2023,5,308,21,42,0,4.94999980926514,1.07000005245209,3.13000011444092
3/30/2023,25,199,9,3,0,4.01999998092651,0.219999998807907,0.239999994635582
3/31/2023,950,172,126,76,0,2.14000010490417,2.97000002861023,3.75
4/1/2023,65,235,68,46,0,4.32999992370605,2.02999997138977,2.98000001907349
4/2/2023,919,92,11,8,0,1.76999998092651,0.310000002384186,0.170000001788139
4/3/2023,1337,47,6,50,0,0.709999978542328,0.219999998807907,3.44000005722046
4/4/2023,1440,0,0,0,0,0,0,0
4/5/2023,1079,56,8,48,0,1.07000005245209,0.319999992847443,3.07999992370605
4/6/2023,1321,37,11,71,0,0.340000003576279,0.159999996423721,3.6800000667572
4/7/2023,1138,4,0,0,0,0.009999999776483,0,0
4/8/2023,1113,28,8,23,0,0.740000009536743,0.140000000596046,1.25999999046326
4/9/2023,1440,0,0,0,0,0,0,0
